#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
1130000,-233360.74439530238,65418.14547701535,-167942.59891828703,297.37676389176414,301.26446459458776,214
1135000,-232899.65783058223,65801.05547367712,-167098.60235690512,299.1173900565504,301.332990662577,214
1140000,-232129.15301365475,65300.012473108945,-166829.1405405458,296.8397567639353,303.7662980251767,214
1145000,-233317.95858277055,65485.38481315714,-167832.5737696134,297.6824193951765,300.25272675411463,214
1150000,-233219.3359618662,65175.99114191218,-168043.344819954,296.27598257168466,300.8432778731811,214
1155000,-232642.3924387521,66065.22068752756,-166577.17175122455,300.31822807870464,303.0715441652986,214
1160000,-232550.49261101498,65515.82486906997,-167034.667741945,297.82079331657144,302.10197527865705,214
1165000,-231271.50651506823,65943.9157057596,-165327.59080930863,299.76680182442817,303.449197466485,214
1170000,-232235.0516001077,66002.47916855413,-166232.57243155356,300.0330186809462,302.13048775262325,214
1175000,-232365.10558925243,65721.25349263404,-166643.8520966184,298.7546274820124,301.48932795955125,214
1180000,-232829.6132629509,65343.31829103199,-167486.29497191892,297.0366156613825,300.8022384203862,214
1185000,-232790.59702573996,64821.53679345036,-167969.0602322896,294.66470963931494,299.5520642706366,214
1190000,-233069.47330497764,65907.65131069892,-167161.82199427873,299.60195171489045,300.1031950228901,214
1195000,-233304.71161930682,65725.76004000264,-167578.95157930418,298.7751132732715,300.9912695228066,214
1200000,-232043.85089936922,65515.184294898296,-166528.66660447093,297.8178814047033,302.5716278515301,214
1205000,-232217.3551673235,65479.26841360016,-166738.08675372333,297.6546155634772,302.3839530843322,214
1210000,-233245.3698942482,65190.79944729747,-168054.57044695073,296.3432979304752,300.98633952641876,214
1215000,-233586.7697717999,65628.3743901808,-167958.3953816191,298.332419137228,300.35431641499594,214
1220000,-232837.3684092462,65636.64951169281,-167200.7188975534,298.3700360528117,303.2442462298411,214
1225000,-232931.18759100302,65718.98044217355,-167212.20714882948,298.7442946854286,300.9207651908976,214
1230000,-232699.6691508193,66089.3954257092,-166610.2737251101,300.4281212185356,300.5721807287631,214
1235000,-232958.16980790137,65658.41586408444,-167299.75394381693,298.4689811908732,301.8704760066464,214
1240000,-232375.9367517652,65400.68542827992,-166975.25132348528,297.2973942802829,301.4772634239246,214
1245000,-232761.35433833394,64895.33491819835,-167866.0194201356,295.00017997952125,301.7871129443491,214
1250000,-233030.24006924732,65720.6977967851,-167309.54227246222,298.752101408672,301.6738473431699,214
1255000,-232244.09832002176,65121.2106716102,-167122.88764841156,296.0269623821931,304.03888231325845,214
1260000,-231577.0785282643,65560.495738181,-166016.5827900833,298.02385744196977,303.0623677629475,214
1265000,-232096.54610730172,65815.26412383025,-166281.28198347148,299.18197951213637,302.00073865268223,214
1270000,-233367.5286157967,65415.58817038322,-167951.9404454135,297.3651389280023,301.5937142674012,214
1275000,-232221.9571719831,65127.06573764875,-167094.89143433433,296.0535782481462,301.52997762708156,214
1280000,-233360.19428752107,65936.80874497816,-167423.3855425429,299.7344951152899,300.4392447520265,214
1285000,-233108.83125219774,65039.770846419735,-168069.060405778,295.65675452181347,298.91371816745516,214
1290000,-232136.96802543942,65453.70892400213,-166683.2591014373,297.5384276427105,300.87924069762437,214
1295000,-232500.71645800723,66112.32257496525,-166388.39388304198,300.5323430884971,301.8821528407424,214
1300000,-232791.6348255272,65333.556329223386,-167458.07849630382,296.99223989085715,300.96560915520797,214
1305000,-231706.98762565083,64664.60009369708,-167042.38753195375,293.9513092888742,303.58386940091333,214
1310000,-232492.92152481666,65906.1278367962,-166586.79368802047,299.59502633148554,303.21746211609377,214
1315000,-232742.94251786685,65720.75360061601,-167022.18891725084,298.75235508083784,301.96026120090215,214
1320000,-232992.00211595325,65668.36467949208,-167323.63743646117,298.5142063575133,302.2498863364777,214
1325000,-232953.4038536586,65094.991573566105,-167858.41228009248,295.9077760238569,302.1898772147903,214
1330000,-230857.03497352893,65837.02133307257,-165020.01364045637,299.28088308741536,303.7463857347693,214
1335000,-231856.87208846095,65534.1871047013,-166322.68498375965,297.90426407487627,302.9056978587076,214
1340000,-232034.58984454232,65411.60272936942,-166622.9871151729,297.34702197371195,302.61071849804443,214
1345000,-231749.19003977953,65194.745776807016,-166554.4442629725,296.36123709231236,305.0107662622729,214
1350000,-232600.53818429355,65997.33291512652,-166603.20526916703,300.0096249240718,303.7647632179624,214
1355000,-233262.1843657184,65667.81106198754,-167594.37330373086,298.5116897318777,301.77519362469513,214
1360000,-232757.33011501492,65553.51893553673,-167203.8111794782,297.99214240361863,301.7162643591904,214
1365000,-232518.401871874,65697.22389547632,-166821.17797639768,298.6453941219365,300.46396049739474,214
1370000,-232092.75801837957,65643.38956602977,-166449.3684523498,298.40067488447784,302.8853025953897,214
1375000,-232036.4505670634,66050.58738190122,-165985.8631851622,300.25170823103133,303.6082976868439,214
1380000,-231725.37943536602,65963.37295224966,-165762.00648311636,299.85525026565597,302.6422327593962,214
1385000,-233158.30348148453,65690.73086926731,-167467.57261221722,298.61587822680036,301.1444190272604,214
1390000,-232339.93278498878,65662.68195992167,-166677.2508250671,298.4883739413903,302.4471276941626,214
1395000,-232530.13542599068,66099.44529450641,-166430.69013148427,300.4738057520646,301.0766636151647,214
1400000,-232803.10477557266,64566.56793150492,-168236.53684406774,293.5056762471938,302.9645768673188,214
1405000,-232009.51725670835,64851.07922984526,-167158.4380268631,294.79900317620036,301.5210437325713,214
1410000,-233055.04390543676,65970.66235849471,-167084.38154694205,299.8883863324772,300.8495030347037,214
1415000,-232601.23116546334,65295.16103721841,-167306.07012824493,296.81770318392574,300.0652198558634,214
1420000,-232268.29497105302,65830.49335293297,-166437.80161812005,299.2512082992582,302.3555732355144,214
1425000,-231785.03959837765,65787.29167264234,-165997.7479257353,299.0548227890021,301.87125237717436,214
1430000,-232140.616545249,65367.292909584474,-166773.32363566454,297.1455991005902,301.17214659234435,214
